traveling_time,waiting_time,headway
66,10,0.0
274,346,0.0
274,306,0.0
1738,186,0.0
765,203,0.009999999999990905
663,183,-22.99000000000001
552,63,-9.990000000000009
663,63,8.009999999999991
1334,23,47.00999999999999
963,360,92.00999999999999
1728,360,98.00999999999999
890,200,98.00999999999999
668,140,38.00999999999999
1885,330,17.00999999999999
419,290,39.00999999999999
1791,250,50.00999999999999
1262,110,112.00999999999999
184,70,148.01
91,346,148.01
91,266,207.01
347,166,-30.01000000000022
1086,146,-42.01000000000022
903,106,-5.010000000000218
430,66,-9.0
1136,234,26.0
1591,234,91.0
622,194,20.0
1711,174,26.0
239,331,38.0
547,311,41.0
1845,311,46.0
1761,231,-64.0
803,151,-60.0
1236,151,-41.0
237,43,-99.0
896,237,-89.0
1071,237,-116.0
352,290,-115.0
434,210,-112.0
1719,210,-157.0
1960,70,-6.010000000000218
525,10,12.989999999999782
1719,10,51.98999999999978
577,267,52.98999999999978
1140,267,59.0
1734,247,88.0
806,187,88.0
1587,167,152.0
1223,147,168.0
163,87,128.0
879,87,138.0
1434,357,72.0
319,317,66.0
695,317,122.0
1800,317,135.0
94,297,241.0
1255,297,284.0
1615,197,229.0
1434,157,249.0
551,117,327.0
551,117,-95.01000000000022
94,77,-85.01000000000022
1255,17,-104.01000000000022
1628,357,-75.01000000000022
802,317,-73.0
1137,317,-26.0
564,197,-50.0
146,97,-71.0
1062,37,-98.0
1294,37,-98.0
198,311,-71.0
1349,311,-83.0
546,211,-80.0
986,211,-151.0
198,191,-137.0
1262,71,-120.0
198,31,-190.0
1115,331,-192.0
84,171,-213.0
839,171,-185.0
627,151,-18.01000000000022
1222,51,8.989999999999782
1579,11,-16.01000000000022
1818,11,6.989999999999782
2321,298,44.0
1591,158,97.0
1591,138,92.0
988,78,122.0
2055,78,125.0
2321,58,121.0
357,38,108.0
988,18,78.0
696,311,114.0
496,271,170.0
1754,271,173.0
196,231,170.0
696,231,168.0
1195,231,136.0
1282,171,185.0
352,131,128.0
496,131,-18.01000000000022
496,111,-40.01000000000022
1375,111,-95.01000000000022
1282,91,-109.01000000000022
196,51,-128.01000000000022
284,51,-179.0
1970,351,-219.0
1368,311,-213.0
1217,271,-301.0
403,251,-352.0
841,171,-340.0
334,111,-345.0
1737,111,-339.0
935,331,-308.0
