traveling_time,waiting_time,headway
625,34,0.0
876,350,0.0
1800,310,0.0
305,334,0.0
730,334,0.0
1345,254,2.009999999999991
1845,254,-1.990000000000009
1177,334,-1.990000000000009
755,174,-9.990000000000009
264,134,-20.99000000000001
437,350,-38.99000000000001
231,250,-23.99000000000001
664,250,-19.99000000000001
1134,210,-11.990000000000009
231,190,-50.99000000000001
759,130,-6.990000000000009
1328,10,-31.99000000000001
187,320,-53.99000000000001
565,240,-51.99000000000001
1767,200,-5.990000000000009
758,140,-23.01000000000022
1561,60,11.989999999999782
398,280,166.0
1277,280,278.0
1690,240,233.0
647,220,284.0
1277,180,383.0
72,80,363.0
488,80,371.0
780,326,416.0
1804,326,434.0
1461,306,343.0
780,226,374.0
345,46,380.0
273,6,320.0
255,227,371.0
1307,187,448.0
1476,67,455.0
1381,7,448.0
937,363,387.0
1774,303,-8.010000000000218
937,263,14.989999999999782
1353,163,2.9899999999997817
97,123,16.98999999999978
1547,123,3.9899999999997817
507,103,-13.0
1547,23,-23.0
507,3,-42.0
309,303,-32.0
380,203,-45.0
1812,83,-33.0
864,343,-1.0
864,283,-11.0
1230,183,-2.0
864,163,8.0
1829,103,46.0
424,83,76.0
475,283,58.0
782,243,28.0
1128,243,51.0
1597,243,-22.01000000000022
1597,183,16.98999999999978
957,163,63.98999999999978
1862,83,67.98999999999978
396,43,25.0
957,3,80.0
1201,343,161.0
1471,163,283.0
1017,103,297.0
560,63,295.0
237,43,293.0
154,23,323.0
473,331,354.0
1340,251,351.0
1340,231,379.0
733,171,364.0
1172,171,372.0
811,151,359.0
1241,111,348.0
1241,51,334.0
1141,343,19.98999999999978
676,323,41.98999999999978
758,183,27.98999999999978
175,163,4.989999999999782
1543,103,-20.0
1543,83,22.0
347,3,8.0
1395,3,31.0
1659,3,59.0
883,300,89.0
883,200,92.0
1797,160,66.0
605,120,110.0
1909,20,107.0
365,357,85.0
755,357,-11.0
605,317,44.0
891,317,8.0
605,297,38.0
984,237,63.0
434,197,-67.01000000000022
1379,77,-77.01000000000022
1379,17,-203.01000000000022
107,307,-229.01000000000022
994,307,-203.01000000000022
519,287,-260.0
1317,267,-325.0
519,247,-327.0
381,207,-325.0
1109,187,-268.0
1692,87,-272.0
152,323,-274.0
1744,263,-390.0
1230,203,-373.0
1870,183,-273.0
531,103,-275.0
1520,331,-285.0
107,311,-273.0
2060,271,-361.0
621,211,-366.0
268,171,25.98999999999978
1520,151,21.98999999999978
1057,131,11.989999999999782
1263,51,3.9899999999997817
1012,303,22.98999999999978
219,203,71.0
146,103,19.0
1012,103,21.0
1236,103,-22.0
913,63,-27.0
597,23,-11.0
849,311,-69.0
685,291,-67.0
1567,211,-64.0
754,151,-105.99999999999818
170,71,-104.99999999999818
170,71,-101.99999999999818
886,357,-91.99999999999818
1287,337,-237.0
202,317,-279.0
640,257,-4.009999999998399
1478,237,-5.009999999998399
2060,197,-2.0099999999983993
2060,57,-16.0099999999984
778,351,-25.0
259,271,-7.0
510,271,96.0
599,271,132.0
510,251,22.0
709,51,-89.0
1282,363,-87.0
720,323,-68.0
1738,283,-75.0
1028,263,-69.0
1028,183,-69.0
107,63,-88.0
956,43,-76.0
1738,23,-129.0
2243,337,-188.0
103,317,-167.0
190,277,-37.0099999999984
2355,157,5.990000000001601
919,97,-11.0099999999984
534,37,-66.0099999999984
1149,307,-50.0
748,207,13.0
394,363,-7.0
1171,363,-40.0
394,243,-241.0
218,223,-241.0
564,237,-265.0
723,237,-293.0
1373,177,-293.0
723,97,-326.0
723,97,-323.0
243,77,-335.0
872,37,-339.0
648,340,-346.0
891,240,-321.0
817,220,-152.0
891,220,-15.0099999999984
891,180,-28.0099999999984
466,160,-32.0099999999984
648,140,-14.0099999999984
1469,100,11.9900000000016
570,40,-86.0
1250,20,-82.0
189,0,-120.0
1811,0,-102.0
639,325,-142.0
1566,325,-161.0
1963,325,-158.0
571,305,-187.0
245,225,-164.0
159,205,-258.0
1699,185,-197.0
1566,105,-268.0
2101,105,-263.0
1480,65,-274.0
736,320,-300.0
798,300,29.9900000000016
523,280,80.9900000000016
926,160,82.9900000000016
152,120,9.0
926,100,72.0
2006,20,66.0
926,0,-94.0
363,307,-200.0
826,247,-123.0
826,207,-87.0
659,187,-76.0
164,167,-187.0
164,147,-198.0
589,147,-164.0
2047,87,-147.0
2047,87,-184.0
164,67,-204.0
1369,67,-219.0
659,27,-203.0
279,7,-210.0
1221,304,-62.0099999999984
1308,304,-96.0099999999984
591,284,-43.0099999999984
657,204,-47.0099999999984
1449,204,-34.0
725,164,-67.0
1644,164,79.0
482,104,94.0
936,84,104.0
314,44,158.0
1004,44,158.0
205,24,199.0
482,4,201.0
1560,284,234.0
257,224,227.0
1647,164,197.0
717,104,222.0
816,64,260.0
933,385,252.0
347,365,251.0
707,365,-79.0099999999984
1365,325,-85.0099999999984
189,305,-60.0099999999984
1192,305,-47.0099999999984
1692,185,-40.0
1517,165,-23.0
271,125,25.0
785,105,43.0
1008,105,94.0
1517,105,92.0
1277,65,159.0
1199,304,308.0
1413,204,338.0
1589,204,398.00000000000364
264,184,360.0
1284,184,418.0
866,144,440.0
172,84,470.0
866,84,493.0
1589,64,512.0
1474,4,21.989999999997963
1589,4,91.98999999999796
451,312,101.98999999999796
451,312,160.0
1405,312,217.0
1620,312,141.0
1132,272,162.0
1620,272,148.0
1132,192,141.0
1477,152,184.0
1477,152,152.0
182,132,147.0
848,92,154.0
1239,369,141.0
1387,149,132.0
1536,129,188.0
570,9,113.0
70,303,107.0
1128,263,119.0
230,223,84.0
1499,203,64.98999999999796
341,163,60.98999999999796
1364,163,46.98999999999796
1437,163,44.98999999999796
1225,103,132.0
437,364,120.0
1241,304,119.0
1541,284,110.0
1395,244,205.0
437,184,222.0
1541,184,193.0
437,124,339.0
317,360,360.0
1474,280,341.0
959,220,222.0
1474,180,343.0
1272,140,325.0
1474,140,383.0
384,284,392.0
1059,284,407.0
692,224,-8.010000000002037
468,124,3.9899999999979627
1295,124,68.98999999999796
384,64,75.98999999999796
692,4,35.0
737,234,4.0
1562,74,-12.0
55,34,-25.0
1649,34,22.0
70,304,-2.0
152,264,-4.0
634,164,-220.0
1453,124,-240.0
70,104,-315.0
395,104,-274.0
770,44,-268.0
1510,44,-264.0
1117,251,-299.0
1185,211,-399.0
1117,191,-416.0
498,363,-7.010000000002037
825,323,-210.01000000000204
236,183,-220.01000000000204
236,43,-229.01000000000204
324,3,-212.01000000000204
2006,240,-224.0
1399,120,-282.0
923,40,-317.0
172,0,-355.0
1486,324,-367.0
374,284,-387.0
374,264,-307.0
826,204,-313.0
74,184,-326.0
1862,104,-288.0
1706,64,-307.0
1862,64,-297.0
2058,292,-282.0
1714,272,-288.0
1574,252,-329.0
445,232,13.989999999997963
363,212,-0.010000000002037268
2239,172,3.9899999999979627
1436,132,6.989999999997963
1129,323,-12.010000000002037
1305,283,-20.0
1305,223,1.0
1801,203,-34.0
169,343,-28.0
1212,323,-130.0
1089,303,-110.0
540,243,-112.0
370,223,-94.0
370,163,-86.0
1619,163,-47.0
1619,63,-32.0
797,323,-41.0
1340,23,-61.0
1261,337,-52.0
1485,217,-26.0
1710,97,0.0
1710,57,0.0
1153,37,0.0
1261,17,34.00999999999999
274,237,13.009999999999991
1795,157,13.009999999999991
490,117,-9.990000000000009
1145,117,-17.99000000000001
819,37,-17.99000000000001
560,337,-25.99000000000001
846,317,-33.99000000000001
121,277,-17.99000000000001
846,237,-42.99000000000001
1867,137,-4.990000000000009
1272,17,136.01
2004,17,83.00999999999999
1409,344,83.00999999999999
1853,344,88.00999999999999
1327,264,88.00999999999999
232,124,131.01000000000022
852,104,-23.01000000000022
2003,84,-22.01000000000022
1082,291,-95.01000000000022
1082,191,-95.01000000000022
1890,191,-96.01000000000022
355,51,-169.0
1005,108,-167.0
1839,68,-137.0
177,28,-229.0
2336,387,-263.0
170,367,-421.0
454,347,-409.0
1198,327,-348.0
454,287,-347.0
2112,287,-353.0
1451,167,-378.0
2414,167,-385.0
725,47,-386.0
1037,7,-277.0
1141,305,-270.0
386,245,125.98999999999978
1030,5,125.98999999999978
991,320,-44.01000000000022
1131,280,15.0
1347,263,45.0
1538,263,29.0
92,243,-11.0
965,203,-13.0
1715,203,26.0
1347,183,80.0
2106,163,72.0
712,123,83.0
2106,43,58.0
1538,3,84.0
2018,3,56.0
1994,358,50.0
1784,278,177.0
1138,138,396.0
1623,58,464.0
1317,405,388.0
790,345,-14.010000000000218
302,265,-73.01000000000022
542,205,-67.01000000000022
388,65,-34.01000000000022
790,5,-156.0
414,292,-174.0
1119,152,-178.0
352,132,-315.0
76,324,-302.0
76,224,-266.0
736,184,-288.0
736,164,-311.0
943,164,-315.0
540,64,-349.0
63,263,-355.0
1327,143,-374.0
1430,334,-399.0
1312,314,-458.0
1965,294,-500.0
1901,234,-563.0
1965,214,-35.01000000000022
1312,134,15.989999999999782
1371,94,-2.0100000000002183
2061,54,-12.010000000000218
1664,344,-31.0
1474,284,13.0
1527,284,29.0
1383,264,22.0
687,184,-39.0
1383,184,-201.0
687,144,-211.0
123,104,-194.0
526,131,-169.0
1591,51,-166.0
1413,31,-183.0
1731,292,-212.0
2014,172,-229.0
1031,72,-227.0
665,52,-218.0
1399,12,-165.0
691,340,-45.01000000000022
812,340,-64.01000000000022
1381,340,-60.01000000000022
1381,240,-44.01000000000022
1643,200,-54.01000000000022
1477,140,-11.0
1240,116,1.0
1016,36,5.0
140,360,-11.0
738,360,19.0
1153,100,9.0
825,20,21.0
1191,277,41.0
1136,237,-106.0
1970,197,-150.0
1276,137,-160.0
1191,57,-166.0
1387,367,-218.0
488,307,-219.0
1406,223,-195.0
607,83,9.989999999999782
1323,3,-73.01000000000022
622,309,-228.01000000000022
1347,269,-244.01000000000022
437,340,-261.9999999999982
1741,280,-289.9999999999982
1335,220,-252.99999999999818
91,160,-246.0
1073,20,-258.0
2138,20,-285.0
1741,260,-287.0
645,140,-238.0
1841,140,-224.0
1962,100,-307.0
645,80,-316.0
1175,80,-261.0
926,40,-253.0
317,227,-271.0
317,187,-278.0
317,147,-283.0
676,87,7.990000000001601
1124,367,-7.009999999998399
664,347,-26.0099999999984
314,227,-135.0
2124,227,-148.0
1196,207,-128.0
2006,187,-112.0
2006,167,-86.0
1196,87,-43.0
584,67,-41.0
870,7,-39.0
1282,320,-40.0
1492,280,-66.0
1380,260,-75.0
1206,240,-75.0
1380,200,-157.0
447,60,-98.0
1149,40,-119.0
833,0,-136.0
1472,220,-263.0
324,160,13.9900000000016
259,60,-29.0099999999984
1772,0,-203.0099999999984
1217,407,-192.0099999999984
1611,407,-206.0099999999984
1384,347,-204.0099999999984
320,307,-252.0
1217,227,-310.0
771,127,-318.0
1989,127,-363.0
1725,107,-407.0
1420,347,-415.0
378,307,-523.0
967,207,-541.0
1724,207,-538.0
678,127,-567.0
833,107,-629.0
903,67,-639.0
1724,27,-604.0
1050,220,-634.0
2055,200,17.9900000000016
111,290,39.9900000000016
773,270,39.9900000000016
111,230,-48.0099999999984
1263,230,-15.0
1785,150,-18.0
111,110,-12.0
954,110,-32.0
1785,90,17.0
1049,70,18.0
711,30,-10.0
877,252,10.0
2182,252,23.0
216,232,-40.0
961,212,-36.0
1667,12,-64.0
1799,427,-228.0
1973,407,28.0
1534,207,39.0
249,147,1.0
1225,67,52.9900000000016
707,7,0.9900000000016007
1253,308,0.9900000000016007
470,288,21.0
861,268,28.0
1137,208,87.0
725,108,69.0
1253,8,124.0
283,240,150.0
1893,220,172.0
804,200,194.0
804,100,-35.0
283,80,23.0
1256,20,74.0
589,401,126.0
1950,301,142.0
769,221,-7.0
1950,201,-20.0
1577,141,-67.0
1466,81,51.0
500,61,60.9900000000016
601,243,17.9900000000016
735,243,-148.0099999999984
150,143,-166.0099999999984
669,83,-185.0
150,63,-169.0
1526,352,-178.0
253,292,-241.0
1836,292,-267.0
1463,272,-270.0
889,232,-332.0
889,212,-332.0
988,152,-361.0
1435,183,-364.0
1906,143,-410.0
1775,103,-403.0
1309,23,-409.0
1564,132,-418.0
1094,52,-556.0
633,363,-565.0
703,343,3.9900000000016007
763,303,-13.0099999999984
257,243,-12.0099999999984
984,3,36.9900000000016
346,280,96.00000000000364
1289,160,94.00000000000364
411,140,38.0
616,280,206.0
1602,220,218.0
311,200,206.0
311,120,185.0
1210,20,195.0
1376,0,197.0
1717,420,206.0
88,320,280.0
230,300,279.0
359,280,305.0
1579,220,331.0
230,180,343.0
1491,180,335.0
152,140,4.989999999997963
805,20,62.98999999999796
1316,152,-21.010000000002037
190,407,-42.01000000000204
419,327,-78.0
134,307,-95.0
190,287,-108.0
739,267,-137.0
190,207,-138.0
746,305,-159.0
1518,205,-229.0
1518,145,-158.0
1051,125,-83.0
1407,85,-108.0
1603,85,-112.0
148,45,-112.0
1348,280,-247.0
819,220,-195.0
629,200,-205.0
1443,200,-187.0
705,180,12.989999999997963
629,120,72.98999999999796
1243,120,87.98999999999796
382,0,70.98999999999796
1101,0,90.0
383,365,116.0
57,205,117.0
1744,105,132.0
1605,284,137.0
308,224,156.0
1401,184,131.0
795,64,113.0
260,229,79.0
175,189,120.0
1493,312,144.0
1578,312,107.0
146,252,178.0
1493,252,361.0
435,212,326.0
435,132,480.0
1209,32,14.989999999997963
1383,343,180.98999999999796
459,283,149.0
811,263,317.0
881,263,372.0
1548,263,317.0
373,143,320.0
1708,143,307.0
158,123,314.0
287,123,306.0
1708,123,268.0
881,63,277.0
287,23,267.0
811,23,222.0
1457,283,229.0
294,143,250.0
1377,143,288.0
1884,143,281.0
1136,123,243.0
1816,123,256.0
942,103,9.989999999997963
1457,83,23.989999999997963
1311,63,43.98999999999796
619,323,84.0
311,283,128.0
123,263,183.0
1259,263,283.0
1999,263,321.0
1447,243,351.0
1928,203,410.0
880,163,378.0
1742,143,378.0
619,103,457.0
1259,103,530.0
1672,103,526.0
1664,286,532.0
402,266,568.0
2071,266,584.0
1664,246,588.0
1564,186,691.0
402,66,22.989999999997963
1498,26,30.989999999997963
1751,6,95.98999999999796
370,263,120.98999999999796
117,243,172.98999999999796
833,243,221.98999999999796
1679,143,217.98999999999796
833,83,263.98999999999796
1330,345,267.98999999999796
1508,345,276.98999999999796
1761,325,298.98999999999796
1407,265,300.98999999999796
1271,245,276.98999999999796
1330,205,220.98999999999796
752,185,245.98999999999796
250,165,256.98999999999796
993,125,282.98999999999796
1407,125,266.98999999999796
119,105,232.98999999999796
1330,25,218.98999999999796
894,5,-2.009999999999991
751,232,1.990000000000009
869,232,19.99000000000001
1561,212,9.990000000000009
147,132,20.99000000000001
1191,92,31.0
1364,52,10.0
950,352,55.0
1258,332,31.0
290,312,84.0
543,292,36.0
1476,252,38.0
1663,232,54.0
1663,152,86.0
658,132,103.0
628,304,101.0
1657,304,-107.0
1131,284,-178.0
1409,244,-181.0
1409,204,-176.0
2037,164,-23.01000000000022
1409,124,-68.01000000000022
1409,104,-127.01000000000022
1409,104,-190.01000000000022
1657,104,-205.0
1596,64,-193.0
372,44,-236.0
1353,343,-217.0
1293,323,-229.0
245,303,-314.0
82,283,-375.0
670,263,-376.0
1293,183,-407.0
428,123,-386.0
1050,3,-382.0
1233,3,-379.0
865,332,-490.0
1336,332,-505.0
1095,272,-497.0
962,252,-556.0
1095,192,13.989999999999782
1336,172,5.989999999999782
1410,92,29.98999999999978
781,72,10.989999999999782
188,12,57.0
1336,12,57.0
421,311,82.0
803,311,119.0
1670,291,119.0
803,171,61.0
364,151,40.0
421,151,8.0
1403,51,-23.0
1670,11,-7.0
853,384,-45.0
1389,184,-28.0
524,164,-64.0
853,164,-64.0
427,64,-43.0
1756,231,-39.0
1576,171,20.98999999999978
652,91,20.98999999999978
1167,51,-32.01000000000022
1576,51,-3.0100000000002183
565,303,18.0
1405,243,-7.0
1476,223,-30.0
1405,203,13.0
305,163,23.0
1557,163,-2.0
367,103,85.0
668,103,83.0
1334,23,58.0
809,332,31.0
1171,312,146.0
809,292,150.0
1545,252,151.0
1171,192,189.0
1406,152,283.0
920,112,264.0
1476,72,-0.010000000000218279
1337,267,6.989999999999782
1252,167,20.98999999999978
1252,147,21.98999999999978
708,127,-29.01000000000022
708,67,-16.0
560,27,-41.0
1374,291,-54.0
1730,291,-80.0
1442,271,-106.0
1442,231,-110.0
1647,51,-107.0
221,11,-106.0
1374,11,-160.0
272,357,-93.0
413,217,-145.0
692,197,-134.0
1526,137,-154.0
1238,117,-128.0
508,77,-127.0
601,77,62.98999999999978
413,57,84.98999999999978
949,57,84.98999999999978
949,57,153.0
1751,364,165.0
935,344,140.0
1197,304,267.0
1664,204,266.0
796,184,361.0
796,24,323.0
1559,4,326.0
1841,4,310.0
1329,95,439.0
1575,95,451.0
1342,313,443.0
424,293,443.0
1717,253,442.0
1717,213,434.0
955,273,393.0
873,319,410.0
1029,99,-36.01000000000022
1092,79,-43.01000000000022
1157,39,-27.01000000000022
213,328,-11.010000000000218
586,148,-37.01000000000022
1501,128,-47.0
743,68,-35.0
899,68,-28.0
1279,320,-26.0
1279,320,9.0
1597,320,-15.0
1108,280,137.0
1481,260,161.0
598,180,146.0
598,160,148.0
271,60,201.0
1274,92,205.0
452,337,204.0
530,197,216.0
689,97,223.0
689,17,19.9900000000016
1604,117,3.9900000000016007
1291,77,-97.0099999999984
1454,37,-87.0099999999984
334,380,-106.0099999999984
1536,240,-96.0
1256,220,-94.0
558,160,-165.0
1677,160,-167.0
188,60,-185.0
1450,20,-184.0
1571,256,-212.0
1623,216,-216.0
612,56,-227.0
1396,305,-226.0
782,165,-184.0
782,165,-213.0
595,105,-223.0
1483,45,-341.0
1396,5,-345.0
694,71,14.9900000000016
163,51,-56.0099999999984
502,51,-60.0099999999984
1055,317,109.9900000000016
1215,317,-19.0
1397,177,34.0
1329,157,3.0
571,77,93.0
1428,366,103.0
541,326,111.0
378,206,-20.0
1358,166,11.0
638,146,10.0
74,66,-39.0
1146,66,-126.0
1077,6,-144.0
164,300,-178.0
390,280,-104.0
1044,160,-86.0
817,100,-155.0
272,234,59.9900000000016
887,174,65.9900000000016
1506,54,97.9900000000016
508,394,74.9900000000016
1657,274,36.0
658,254,63.0
658,214,140.0
563,174,187.0
1358,114,152.0
1657,34,311.0
412,334,498.0
1441,134,525.0
1150,263,505.0
1466,223,556.0
750,183,440.0
1234,143,421.0
72,103,450.0
978,103,453.0
895,23,476.0
97,338,466.0
950,238,-12.0099999999984
430,178,-10.0099999999984
430,138,-14.0099999999984
702,98,71.0
1156,98,13.0
1340,98,-19.0
430,38,241.0
1953,38,264.0
622,409,306.0
73,289,320.0
550,169,346.0
451,129,339.0
663,262,335.0
150,459,314.0
523,439,305.0
909,419,286.0
150,379,304.0
333,279,341.0
1276,279,353.0
909,259,512.0
1085,119,-16.0099999999984
769,59,31.9900000000016
1664,59,-17.0099999999984
1276,19,-10.0099999999984
606,234,7.0
1144,114,11.0
1452,114,-35.0
1237,370,-94.0
921,290,-133.0
1450,270,-133.0
1074,230,-133.0
989,340,-147.0
1547,180,-164.0
1806,160,-195.0
1252,80,-272.0
183,302,-228.0
335,242,-234.0
653,202,-195.0
183,142,-231.0
1054,102,-237.0
411,82,25.9900000000016
335,42,25.9900000000016
568,42,2.9900000000016007
1564,2,109.0
1052,342,66.0
154,282,49.0
493,222,45.0
581,182,-16.0
394,122,-24.0
1052,102,-155.0
154,82,-171.00000000000364
1738,82,-223.00000000000364
1444,42,-266.00000000000364
394,22,-318.0
1089,363,-387.0
1411,363,-413.0
666,103,-432.0
1255,302,-553.0
107,282,-558.0
199,242,-586.0
735,142,-25.010000000002037
1550,122,48.98999999999796
1550,122,58.98999999999796
1255,62,36.0
1488,62,178.0
171,359,200.0
782,359,227.0
171,279,253.0
85,259,238.0
782,259,399.0
1492,239,339.0
85,219,422.0
497,219,431.0
1048,179,472.0
565,159,505.0
85,99,393.0
2027,99,408.0
1406,19,414.0
1520,310,439.4253114633227
453,290,458.7741489042309
856,270,-21.010000000002037
728,230,-46.01000000000204
1520,190,-46.01000000000204
728,90,-60.01000000000204
957,90,-79.01000000000204
1206,90,-88.01000000000204
1936,90,-111.0
1936,90,-117.0
164,70,-117.0
1591,10,-116.0
575,311,-296.0
1383,291,-300.0
575,191,-298.0
653,131,-283.0
1691,91,-279.0
1104,341,-271.0
608,281,-338.0
1839,261,-345.0
1446,221,-357.0
1104,141,-351.0
1191,141,1.9899999999979627
1839,141,184.98999999999796
474,101,226.0
1332,101,347.0
1446,61,349.0
540,41,209.0
540,41,86.0
742,258,71.0
742,198,40.0
183,178,38.0
1573,158,61.0
82,138,-58.0
471,138,-60.0
1573,138,-72.0
925,118,-72.0
1486,38,-81.0
84,390,-43.0
602,330,-194.0
454,310,-218.0
1587,310,-188.0
534,290,-25.010000000002037
454,230,17.989999999997963
1172,170,45.98999999999796
454,110,0.9899999999979627
454,110,-45.0
1260,90,-40.0
242,70,37.0
1412,70,38.0
1339,30,34.0
981,296,133.0
1382,276,199.0
1382,276,214.0
1192,216,330.0
80,136,382.0
981,136,367.0
501,76,412.0
388,56,427.0
818,324,424.0
470,264,437.0
470,244,427.0
1248,244,14.989999999997963
1313,164,37.98999999999796
232,144,40.98999999999796
641,144,40.98999999999796
818,104,111.98999999999796
641,4,103.98999999999796
1457,4,88.98999999999796
252,341,83.98999999999796
858,341,135.98999999999796
1167,341,145.98999999999796
998,221,139.98999999999796
1253,81,125.98999999999796
651,61,112.98999999999796
998,41,89.98999999999796
1643,21,82.98999999999796
1510,273,86.98999999999796
345,153,86.98999999999796
271,133,87.98999999999796
909,113,92.98999999999796
1251,292,86.98999999999796
1411,292,-34.00999999999999
270,252,-13.009999999999991
765,252,9.990000000000009
1173,212,17.99000000000001
1550,212,-71.0
765,172,-67.0
1473,132,-53.0
82,330,-129.0
317,170,-135.0
607,110,-100.0
510,70,-128.0
1202,50,-265.0
1142,30,-265.0
863,272,-222.0
76,92,-202.0
480,92,-221.0
921,72,-191.00000000000023
480,52,-221.00000000000023
770,52,-107.0
1507,309,-111.0
570,289,25.98999999999978
252,149,30.98999999999978
252,69,109.98999999999978
166,49,216.0
409,29,186.0
82,334,283.0
1440,294,322.0
171,194,338.0
700,174,341.0
1098,154,367.0
82,34,319.0
1202,311,323.0
1529,231,198.0
402,211,204.0
1269,111,199.0
1125,11,220.0
1773,263,103.0
1600,183,123.0
1661,163,117.0
176,103,97.0
438,83,-111.01000000000022
1661,63,-145.01000000000022
1057,23,-131.01000000000022
970,3,-83.01000000000022
1303,416,-79.01000000000022
76,336,-95.0
1910,216,-97.0
76,156,-203.0
1058,136,-204.0
339,16,-154.0
690,258,-120.0
1412,98,-110.0
1568,418,-89.0
1428,398,-77.0
371,358,-79.0
217,218,-82.0
1022,118,-208.0
1824,58,-232.0
1479,367,-250.0
1192,347,-343.0
684,187,7.989999999999782
720,272,136.98999999999978
201,232,125.98999999999978
1585,192,90.98999999999978
84,172,216.0
1043,172,209.0
1101,172,205.0
846,72,242.0
1613,353,246.0
1873,353,284.0
1349,293,269.0
2039,273,301.0
1873,153,392.0
2039,153,445.0
1735,133,532.0
765,53,583.0
2148,276,695.0
219,36,739.0
773,16,731.0
961,361,660.0
1611,301,-6.010000000000218
1340,201,-42.01000000000022
1056,161,17.98999999999978
1182,141,13.989999999999782
1182,101,93.0
1611,41,153.0
1688,21,375.0
562,238,376.0
2078,198,599.0
1151,138,599.0
725,58,628.0
239,399,634.0
1868,379,617.0
1411,339,598.0
1718,339,589.0
2031,299,561.0
865,279,589.0
948,279,619.0
1411,59,604.0
948,39,577.0
1939,313,-12.010000000000218
1452,213,-8.010000000000218
1219,173,-14.010000000000218
1803,53,-32.01000000000022
1082,33,-24.01000000000022
1726,121,-36.0
1664,101,-20.0
1454,81,-18.0
2028,391,1.0
1437,371,90.0
953,351,91.0
1114,211,65.0
1114,191,40.0
1114,131,44.0
2252,111,34.0
2252,71,1.0
1437,31,6.0
694,11,3.0
2028,11,10.0
845,229,-37.0
521,209,1.9899999999997817
845,189,12.989999999999782
845,49,-30.01000000000022
773,9,-43.0099999999984
311,302,-37.0099999999984
526,302,-11.0
582,282,-51.0
397,202,-75.0
397,182,-89.0
526,162,-6.0
125,142,0.0
1452,62,-7.0
772,42,-72.0
1333,255,-28.0
1037,215,-26.0
1623,175,-22.0
698,135,-65.0
349,55,9.0
1551,270,11.0
1066,190,-23.0
955,170,-12.0099999999984
1066,150,2.9900000000016007
1141,150,-3.0099999999983993
872,110,-31.0099999999984
1066,70,-44.0
1413,10,12.0
532,307,-6.0
1068,307,-25.0
532,147,-93.0
962,147,-42.0
1395,107,-71.0
773,7,-10.0
1068,7,-8.0
1059,192,-165.0
68,340,-154.0
532,280,-200.0
532,260,-104.0
1566,260,-127.0
1883,220,-42.0
1021,140,59.0
660,60,49.9900000000016
1481,266,120.9900000000016
326,246,122.9900000000016
1409,226,130.9900000000016
1264,206,197.0
1577,166,254.0
1577,146,232.0
1140,106,234.0
1042,401,265.0
382,341,378.0
1042,321,345.0
1794,241,335.0
238,161,321.0
1858,121,328.0
832,41,351.0
740,367,282.0
676,167,188.0
70,147,176.0
564,87,162.0
447,67,176.0
1122,67,-29.0099999999984
1316,248,-34.0099999999984
1494,148,-32.0099999999984
996,128,5.990000000001601
674,108,-9.0
1242,321,28.0
1925,261,111.0
1310,241,45.0
1310,181,-69.0
576,101,282.0
942,61,111.0
72,1,84.0
1499,384,36.0
742,364,190.0
1678,224,240.0
438,184,314.0
256,64,292.0
1585,4,270.0
1003,172,261.0
1104,152,265.0
1221,152,-45.0099999999984
1685,152,-42.0099999999984
1685,112,-72.0099999999984
1867,72,-52.0
1592,32,-32.0
70,260,-40.0
416,160,-19.0
1013,160,6.0
1500,120,-118.0
1629,100,-142.0
1532,97,-189.0
1890,97,102.0
2250,498,99.0
1820,458,335.0
74,398,284.0
646,358,197.0
1276,198,199.0
510,300,185.0
686,160,164.0
510,120,127.0
381,80,51.9900000000016
605,60,41.9900000000016
1754,20,57.9900000000016
967,0,46.9900000000016
64,224,94.0
1252,224,21.0
450,124,35.0
1546,84,80.0
288,4,-56.0
1470,351,132.0
2047,351,113.0
497,271,134.0
1052,251,220.0
231,231,226.0
1460,424,390.0
1318,384,396.0
863,344,427.0
1460,284,396.0
1577,4,433.0
338,322,425.0
202,282,10.9900000000016
773,222,11.989999999997963
1125,222,11.989999999997963
470,42,-31.010000000002037
391,258,-114.0
1485,218,-114.0
391,138,-16.0
1085,138,0.0
693,118,-16.0
1173,118,-37.0
1563,118,12.0
1316,38,6.0
1104,418,2.0
269,398,-7.0
