time,station,direction,buses
1564,X14,1,"(0, 2)"
1565,X14,1,"(0, 2)"
1566,X14,1,"(0, 2)"
1630,X15,1,"(0, 2)"
1631,X15,1,"(0, 2)"
1632,X15,1,"(0, 2)"
1633,X15,1,"(0, 2)"
1634,X15,1,"(0, 2)"
1635,X15,1,"(0, 2)"
1636,X15,1,"(0, 2)"
1637,X15,1,"(0, 2)"
3459,X15,1,"(10, 12)"
3525,X16,1,"(10, 12)"
3526,X16,1,"(10, 12)"
3625,X17,1,"(10, 12)"
3626,X17,1,"(10, 12)"
3627,X17,1,"(10, 12)"
3628,X17,1,"(10, 12)"
3629,X17,1,"(10, 12)"
3630,X17,1,"(10, 12)"
3632,X03,0,"(9, 11)"
3633,X03,0,"(9, 11)"
3634,X03,0,"(9, 11)"
3635,X03,0,"(9, 11)"
3681,X18,1,"(10, 12)"
3682,X18,1,"(10, 12)"
3683,X18,1,"(10, 12)"
3684,X18,1,"(10, 12)"
3685,X18,1,"(10, 12)"
3686,X18,1,"(10, 12)"
3687,X18,1,"(10, 12)"
3688,X18,1,"(10, 12)"
3704,X02,0,"(9, 11)"
3705,X02,0,"(9, 11)"
3742,X19,1,"(10, 12)"
3743,X19,1,"(10, 12)"
3744,X19,1,"(10, 12)"
3745,X19,1,"(10, 12)"
3746,X19,1,"(10, 12)"
3747,X19,1,"(10, 12)"
3748,X19,1,"(10, 12)"
3749,X19,1,"(10, 12)"
3771,X12,1,"(1, 13)"
3819,X20,1,"(10, 12)"
3820,X20,1,"(10, 12)"
3821,X20,1,"(10, 12)"
3845,X01,0,"(9, 11)"
3846,X01,0,"(9, 11)"
3847,X01,0,"(9, 11)"
3865,X13,1,"(1, 13)"
3866,X13,1,"(1, 13)"
3867,X13,1,"(1, 13)"
3868,X13,1,"(1, 13)"
3869,X13,1,"(1, 13)"
3957,X14,1,"(1, 13)"
3958,X14,1,"(1, 13)"
3959,X14,1,"(1, 13)"
3960,X14,1,"(1, 13)"
3961,X14,1,"(1, 13)"
3962,X14,1,"(1, 13)"
3963,X14,1,"(1, 13)"
3963,X05,0,"(0, 2)"
3964,X05,0,"(0, 2)"
4049,X15,1,"(1, 13)"
4050,X15,1,"(1, 13)"
4051,X15,1,"(1, 13)"
4052,X15,1,"(1, 13)"
4053,X15,1,"(1, 13)"
4054,X15,1,"(1, 13)"
4055,X15,1,"(1, 13)"
4056,X15,1,"(1, 13)"
4057,X15,1,"(1, 13)"
4074,X04,0,"(0, 2)"
4075,X04,0,"(0, 2)"
4076,X04,0,"(0, 2)"
4077,X04,0,"(0, 2)"
4078,X04,0,"(0, 2)"
4079,X04,0,"(0, 2)"
4080,X04,0,"(0, 2)"
4080,X02,0,"(0, 11)"
4081,X04,0,"(0, 2)"
4081,X02,0,"(0, 11)"
4125,X02,0,"(0, 2)"
4126,X02,0,"(0, 2)"
4127,X02,0,"(0, 2)"
4128,X02,0,"(0, 2)"
4129,X02,0,"(0, 2)"
4143,X03,0,"(0, 2)"
4144,X03,0,"(0, 2)"
4145,X03,0,"(0, 2)"
4146,X03,0,"(0, 2)"
4147,X03,0,"(0, 2)"
4148,X03,0,"(0, 2)"
4149,X03,0,"(0, 2)"
4150,X03,0,"(0, 2)"
4151,X03,0,"(0, 2)"
4152,X03,0,"(0, 2)"
4153,X03,0,"(0, 2)"
4154,X03,0,"(0, 2)"
4155,X03,0,"(0, 2)"
4173,X01,0,"(0, 11)"
4174,X01,0,"(0, 11)"
4175,X01,0,"(0, 11)"
4176,X01,0,"(0, 11)"
4177,X01,0,"(0, 11)"
4178,X01,0,"(0, 11)"
4179,X01,0,"(0, 11)"
4180,X01,0,"(0, 11)"
4181,X01,0,"(0, 11)"
4182,X01,0,"(0, 11)"
4216,X02,0,"(0, 2)"
4217,X02,0,"(0, 2)"
4218,X02,0,"(0, 2)"
4219,X02,0,"(0, 2)"
4220,X02,0,"(0, 2)"
4221,X02,0,"(0, 2)"
4222,X02,0,"(0, 2)"
4223,X02,0,"(0, 2)"
4224,X02,0,"(0, 2)"
4225,X16,1,"(1, 13)"
4225,X02,0,"(0, 2)"
4226,X02,0,"(0, 2)"
4226,X16,1,"(1, 13)"
4227,X02,0,"(0, 2)"
4227,X16,1,"(1, 13)"
4228,X16,1,"(1, 13)"
4229,X16,1,"(1, 13)"
4230,X16,1,"(1, 13)"
4231,X16,1,"(1, 13)"
4232,X16,1,"(1, 13)"
4233,X16,1,"(1, 13)"
4234,X16,1,"(1, 13)"
4259,X16,1,"(1, 13)"
4260,X16,1,"(1, 13)"
4261,X16,1,"(1, 13)"
4276,X01,0,"(0, 12)"
4277,X01,0,"(0, 12)"
4278,X01,0,"(0, 12)"
4279,X01,0,"(0, 12)"
4301,X17,1,"(1, 13)"
4302,X17,1,"(1, 13)"
4303,X17,1,"(1, 13)"
4304,X17,1,"(1, 13)"
4305,X01,0,"(0, 2)"
4305,X17,1,"(1, 13)"
4306,X17,1,"(1, 13)"
4306,X01,0,"(0, 2)"
4307,X17,1,"(1, 13)"
4307,X01,0,"(0, 2)"
4308,X01,0,"(0, 2)"
4309,X01,0,"(0, 2)"
4310,X01,0,"(0, 2)"
4311,X01,0,"(0, 2)"
4312,X01,0,"(0, 2)"
4366,X18,1,"(1, 13)"
4398,X01,0,"(0, 2)"
4399,X01,0,"(0, 2)"
4400,X01,0,"(0, 2)"
4401,X01,0,"(0, 2)"
4402,X01,0,"(0, 2)"
4403,X01,0,"(0, 2)"
4404,X01,0,"(0, 2)"
4405,X01,0,"(0, 2)"
4406,X01,0,"(0, 2)"
4407,X01,0,"(0, 2)"
4408,X01,0,"(0, 2)"
4409,X01,0,"(0, 2)"
4410,X01,0,"(0, 2)"
4435,X17,1,"(1, 13)"
4436,X17,1,"(1, 13)"
4437,X17,1,"(1, 13)"
4437,X18,1,"(1, 3)"
4438,X18,1,"(1, 3)"
4438,X17,1,"(1, 13)"
4439,X18,1,"(1, 3)"
4439,X17,1,"(1, 13)"
4440,X18,1,"(1, 3)"
4440,X17,1,"(1, 13)"
4441,X17,1,"(1, 13)"
4441,X18,1,"(1, 3)"
4442,X17,1,"(1, 13)"
4442,X18,1,"(1, 3)"
4443,X17,1,"(1, 13)"
4495,X19,1,"(1, 3)"
4496,X19,1,"(1, 3)"
4497,X19,1,"(1, 3)"
4498,X19,1,"(1, 3)"
4499,X19,1,"(1, 3)"
4500,X19,1,"(1, 3)"
4501,X19,1,"(1, 3)"
4513,X18,1,"(1, 13)"
4514,X18,1,"(1, 13)"
4515,X18,1,"(1, 13)"
4516,X01,0,"(0, 11)"
4516,X18,1,"(1, 13)"
4517,X18,1,"(1, 13)"
4517,X01,0,"(0, 11)"
4518,X18,1,"(1, 13)"
4518,X01,0,"(0, 11)"
4519,X18,1,"(1, 13)"
4519,X01,0,"(0, 11)"
4520,X18,1,"(1, 13)"
4520,X01,0,"(0, 11)"
4521,X18,1,"(1, 13)"
4521,X01,0,"(0, 11)"
4522,X01,0,"(0, 11)"
4522,X18,1,"(1, 13)"
4523,X18,1,"(1, 13)"
4523,X01,0,"(0, 11)"
4572,X19,1,"(1, 13)"
4573,X19,1,"(1, 13)"
4574,X19,1,"(1, 13)"
4575,X05,0,"(2, 4)"
4575,X19,1,"(1, 13)"
4576,X05,0,"(2, 4)"
4576,X19,1,"(1, 13)"
4576,X20,1,"(1, 3)"
4577,X20,1,"(1, 3)"
4577,X05,0,"(2, 4)"
4577,X19,1,"(1, 13)"
4578,X19,1,"(1, 13)"
4578,X20,1,"(1, 3)"
4579,X20,1,"(1, 3)"
4579,X19,1,"(1, 13)"
4580,X20,1,"(1, 3)"
4581,X20,1,"(1, 3)"
4582,X20,1,"(1, 3)"
4583,X20,1,"(1, 3)"
4584,X20,1,"(1, 3)"
4585,X20,1,"(1, 3)"
4586,X20,1,"(1, 3)"
4587,X20,1,"(1, 3)"
4671,X20,1,"(1, 13)"
4672,X20,1,"(1, 13)"
4673,X20,1,"(1, 13)"
4674,X20,1,"(1, 13)"
4773,X08,0,"(4, 6)"
4774,X08,0,"(4, 6)"
4775,X08,0,"(4, 6)"
4776,X08,0,"(4, 6)"
4777,X08,0,"(4, 6)"
4778,X08,0,"(4, 6)"
4779,X08,0,"(4, 6)"
4780,X08,0,"(4, 6)"
4781,X08,0,"(4, 6)"
4782,X08,0,"(4, 6)"
4783,X08,0,"(4, 6)"
4784,X08,0,"(4, 6)"
4785,X08,0,"(4, 6)"
4841,X07,0,"(4, 6)"
4842,X04,0,"(2, 4)"
4842,X07,0,"(4, 6)"
4843,X04,0,"(2, 4)"
4843,X07,0,"(4, 6)"
4844,X07,0,"(4, 6)"
4844,X04,0,"(2, 4)"
4845,X04,0,"(2, 4)"
4845,X07,0,"(4, 6)"
4846,X04,0,"(2, 4)"
4846,X07,0,"(4, 6)"
4847,X07,0,"(4, 6)"
4847,X04,0,"(2, 4)"
4848,X07,0,"(4, 6)"
4848,X04,0,"(2, 4)"
4917,X06,0,"(4, 6)"
4918,X06,0,"(4, 6)"
4919,X06,0,"(4, 6)"
4920,X06,0,"(4, 6)"
4921,X06,0,"(4, 6)"
4922,X06,0,"(4, 6)"
4923,X06,0,"(4, 6)"
4924,X06,0,"(4, 6)"
4925,X06,0,"(4, 6)"
4926,X06,0,"(4, 6)"
4929,X03,0,"(2, 4)"
4930,X03,0,"(2, 4)"
4931,X03,0,"(2, 4)"
