time,station,direction,buses
24039,X03,1,"(3, 3)"
24040,X03,1,"(3, 3)"
24041,X03,1,"(3, 3)"
24042,X03,1,"(3, 3)"
24043,X03,1,"(3, 3)"
24044,X03,1,"(3, 3)"
24045,X03,1,"(3, 3)"
24046,X03,1,"(3, 3)"
24047,X03,1,"(3, 3)"
24048,X03,1,"(3, 3)"
24049,X03,1,"(3, 3)"
24049,X20,0,"(6, 6)"
24050,X03,1,"(3, 3)"
24050,X20,0,"(6, 6)"
24051,X03,1,"(3, 3)"
24051,X20,0,"(6, 6)"
24052,X20,0,"(6, 6)"
24052,X03,1,"(3, 3)"
24053,X20,0,"(6, 6)"
24054,X20,0,"(6, 6)"
24055,X20,0,"(6, 6)"
24056,X20,0,"(6, 6)"
24057,X20,0,"(6, 6)"
24058,X13,0,"(2, 2)"
24058,X20,0,"(6, 6)"
24059,X13,0,"(2, 2)"
24059,X20,0,"(6, 6)"
24060,X13,0,"(2, 2)"
24060,X20,0,"(6, 6)"
24061,X20,0,"(6, 6)"
24061,X13,0,"(2, 2)"
24061,X07,1,"(1, 1)"
24062,X20,0,"(6, 6)"
24062,X07,1,"(1, 1)"
24062,X13,0,"(2, 2)"
24063,X20,0,"(6, 6)"
24063,X07,1,"(1, 1)"
24063,X13,0,"(2, 2)"
24064,X13,0,"(2, 2)"
24064,X20,0,"(6, 6)"
24064,X07,1,"(1, 1)"
24065,X13,0,"(2, 2)"
24065,X20,0,"(6, 6)"
24065,X07,1,"(1, 1)"
24066,X13,0,"(2, 2)"
24066,X07,1,"(1, 1)"
24066,X20,0,"(6, 6)"
24067,X13,0,"(2, 2)"
24067,X07,1,"(1, 1)"
24067,X20,0,"(6, 6)"
24067,X03,0,"(7, 7)"
24068,X07,1,"(1, 1)"
24068,X20,0,"(6, 6)"
24068,X03,0,"(7, 7)"
24068,X13,0,"(2, 2)"
24069,X20,0,"(6, 6)"
24069,X07,1,"(1, 1)"
24069,X13,0,"(2, 2)"
24069,X03,0,"(7, 7)"
24070,X03,0,"(7, 7)"
24070,X20,0,"(6, 6)"
24070,X16,0,"(4, 4)"
24070,X07,1,"(1, 1)"
24070,X13,0,"(2, 2)"
24071,X13,0,"(2, 2)"
24071,X16,0,"(4, 4)"
24071,X03,0,"(7, 7)"
24071,X20,0,"(6, 6)"
24072,X16,0,"(4, 4)"
24072,X20,0,"(6, 6)"
