time,station,direction,buses
5402,X05,0,"(8, 8)"
5402,X19,0,"(13, 13)"
5403,X05,0,"(8, 8)"
5403,X19,0,"(13, 13)"
5404,X19,0,"(13, 13)"
5404,X05,0,"(8, 8)"
5405,X19,0,"(13, 13)"
5405,X05,0,"(8, 8)"
5406,X19,0,"(13, 13)"
5406,X05,0,"(8, 8)"
5407,X19,0,"(13, 13)"
5407,X05,0,"(8, 8)"
5408,X19,0,"(13, 13)"
5409,X19,0,"(13, 13)"
5410,X19,0,"(13, 13)"
5411,X09,1,"(11, 11)"
5411,X19,0,"(13, 13)"
5412,X19,0,"(13, 13)"
5412,X04,1,"(2, 2)"
5412,X09,1,"(11, 11)"
5413,X04,1,"(2, 2)"
5413,X09,1,"(11, 11)"
5414,X09,1,"(11, 11)"
5414,X04,1,"(2, 2)"
5415,X04,1,"(2, 2)"
5415,X09,1,"(11, 11)"
5416,X04,1,"(2, 2)"
5416,X09,1,"(11, 11)"
5417,X09,1,"(11, 11)"
5417,X04,1,"(2, 2)"
5418,X09,1,"(11, 11)"
5418,X04,1,"(2, 2)"
5419,X04,1,"(2, 2)"
5419,X09,1,"(11, 11)"
5420,X09,1,"(11, 11)"
5420,X04,1,"(2, 2)"
5421,X09,1,"(11, 11)"
5421,X04,1,"(2, 2)"
5422,X09,1,"(11, 11)"
5422,X04,1,"(2, 2)"
5423,X09,1,"(11, 11)"
5423,X04,1,"(2, 2)"
5424,X09,1,"(11, 11)"
5424,X04,1,"(2, 2)"
5425,X04,1,"(2, 2)"
5426,X04,1,"(2, 2)"
5427,X04,1,"(2, 2)"
5428,X04,1,"(2, 2)"
5429,X04,1,"(2, 2)"
5429,X20,1,"(5, 5)"
5430,X20,1,"(5, 5)"
5431,X20,1,"(5, 5)"
5432,X20,1,"(5, 5)"
5433,X20,1,"(5, 5)"
5434,X20,1,"(5, 5)"
5435,X20,1,"(5, 5)"
5436,X20,1,"(5, 5)"
5437,X20,1,"(5, 5)"
5438,X20,1,"(5, 5)"
5439,X20,1,"(5, 5)"
5440,X08,0,"(10, 10)"
