traveling_time,waiting_time,headway
385,340,0.0
526,280,0.0
315,120,0.0
611,40,0.0
1135,310,0.0
666,250,-17.99000000000001
1024,230,36.00999999999999
1209,130,32.00999999999999
436,30,23.00999999999999
737,354,47.00999999999999
780,346,32.00999999999999
1301,126,25.00999999999999
1789,106,140.01
1704,46,177.01
295,26,193.01
389,201,201.01
945,61,199.01
572,41,217.01
319,360,220.01
1488,320,237.01
319,180,-61.01000000000022
429,160,-34.01000000000022
544,20,-67.01000000000022
1618,230,-52.0
689,210,-22.0
689,110,6.0
338,50,-15.0
612,323,-53.0
1248,323,-80.0
691,283,-70.0
1584,223,-123.0
612,183,-233.0
400,83,-234.0
1680,43,-265.0
732,337,-334.0
567,237,-381.0
637,197,-308.0
1623,57,-316.0
1652,191,-332.0
908,131,-250.0
978,131,-2.0100000000002183
167,331,49.98999999999978
1053,271,43.98999999999978
942,151,59.98999999999978
1338,131,94.0
1584,111,101.0
1852,111,118.0
167,11,174.0
611,297,171.0
868,297,218.0
938,277,217.0
1650,277,230.0
800,197,219.0
1184,197,141.0
938,77,126.0
1063,311,112.0
355,191,131.0
785,151,137.0
1447,111,128.0
1832,111,120.0
1647,71,-2.0100000000002183
1570,31,24.98999999999978
238,11,32.98999999999978
1063,11,52.98999999999978
1421,227,-85.01000000000022
1344,207,-251.0
362,167,-226.0
682,47,-244.0
1416,323,-262.0
1872,283,-252.0
1872,263,-310.0
1044,243,-367.0
1416,243,-411.0
208,163,-441.0
1272,163,-434.0
1738,123,-472.0
683,83,-471.0
335,280,-513.0
335,220,-481.0
578,40,-480.0
1931,338,-12.010000000000218
1014,318,0.9899999999997817
1931,218,-10.010000000000218
1931,178,3.9899999999997817
778,138,-21.0
431,78,-11.0
1931,78,-26.0
1390,58,86.0
1632,58,63.0
501,18,75.0
501,18,20.0
612,367,11.0
210,247,-87.0
1244,207,-74.0
1746,127,-67.0
1058,107,123.0
1995,87,88.0
700,67,225.0
959,47,145.0
1995,7,104.0
765,263,47.98999999999978
1477,263,83.98999999999978
950,243,101.98999999999978
1199,243,177.0
1199,143,139.0
1574,123,197.0
1477,63,261.0
2113,43,267.0
1787,23,181.0
1600,343,89.0
819,323,66.0
875,323,54.0
757,243,15.0
819,123,27.0
485,103,24.0
1727,323,51.0
622,303,62.0
1371,303,64.0
548,223,37.0
622,223,95.0
833,183,-10.010000000000218
1625,143,-6.010000000000218
899,123,-15.010000000000218
109,43,-7.010000000000218
1798,343,1.9899999999997817
165,303,-22.0
1452,263,-7.0
165,243,0.0
2044,183,12.0
247,143,-59.0
989,123,-91.0
891,83,-68.0
1087,337,-85.0
1527,257,-76.0
1741,197,-42.0
922,117,-97.0
922,117,-104.0
2037,97,-80.0
1938,57,-69.0
1451,37,7.0
310,17,-0.00999999999839929
792,251,-66.0099999999984
1154,251,-78.0099999999984
443,171,-80.0099999999984
606,171,-92.0
864,91,-100.0
443,71,-88.0
185,337,-130.0
272,257,-146.0
441,257,-122.0
441,217,-122.0
773,177,-120.0
1020,137,-121.0
909,97,-121.0
1413,343,-211.0
800,303,-125.0
1047,303,-147.0
1231,183,-177.0
866,143,-149.0
196,123,-73.0
1482,123,13.9900000000016
866,103,19.9900000000016
262,63,2.9900000000016007
1000,337,102.0
1370,297,192.0
920,277,189.0
1095,257,169.0
1849,197,205.0
194,17,264.0
101,277,286.0
440,197,281.0
1165,197,371.0
1381,17,310.0
1670,17,490.0
1443,364,613.0
627,344,607.0
775,284,614.0
107,104,565.0
697,104,561.0
528,64,550.0
1443,44,3.9900000000016007
697,24,11.9900000000016
86,347,4.990000000001601
968,347,8.9900000000016
1597,347,23.0
1597,327,-22.0
676,267,-26.0
1741,267,33.0
1977,267,16.0
2079,147,43.0
968,127,61.0
906,67,52.0
1818,47,160.0
1082,305,140.0
265,245,102.0
1935,225,64.0
810,185,75.0
2036,165,74.0
672,125,112.0
265,5,113.0
1478,5,-123.0099999999984
1478,348,-145.0099999999984
1278,328,-141.0099999999984
1380,308,-75.0099999999984
1157,228,-144.0
609,188,-243.0
1733,188,-301.0
90,148,-309.0
1278,128,-282.0
1591,88,-288.0
609,28,-410.0
1359,280,-414.0
622,220,-438.0
781,40,-445.0
184,347,-448.0
1162,347,-537.0
569,327,-527.0
658,327,-501.0
1967,327,-530.0
88,307,-535.0
346,267,43.9900000000016
809,227,21.9900000000016
184,147,58.9900000000016
268,127,117.0
1711,27,98.0
