traveling_time,waiting_time,headway
1232,283,-109.01000000000204
2214,283,-142.01000000000204
277,263,-142.01000000000204
369,203,-200.0
2121,203,-207.0
2006,83,-203.0
786,63,-258.0
369,3,-264.0
2062,283,-264.0
1272,203,-292.0
908,183,-279.0
549,143,-264.0
2062,143,-390.0
2062,103,-379.0
220,83,-386.0
253,263,-371.0
1972,263,-372.0
2348,203,-425.0
1972,103,-412.0
1972,83,-23.010000000002037
1886,23,-25.010000000002037
499,3,13.989999999997963
575,237,23.989999999997963
1150,237,-5.0
1234,217,103.0
1601,177,81.0
1234,137,61.0
1234,77,40.0
1049,57,32.0
2300,57,30.0
575,37,51.0
263,332,78.0
64,192,169.0
1758,72,147.0
1138,32,149.0
1138,12,318.0
872,367,310.0
587,307,350.0
375,247,430.0
523,227,-10.010000000002037
1400,107,-6.010000000002037
66,67,-8.010000000002037
569,264,9.989999999997963
1774,224,31.0
569,184,8.0
1704,124,-65.0
569,84,-50.0
1704,84,-339.0
1774,84,-349.0
1774,84,-379.0
302,4,-386.0
1354,4,-404.0
1700,360,-467.0
1839,360,-452.0
339,320,-460.0
632,320,-460.0
1154,320,-478.0
1265,300,-488.0
632,280,-494.0
632,280,0.0
573,220,0.0
1337,220,0.0
1154,140,32.00999999999999
1053,80,29.00999999999999
632,20,116.00999999999999
136,298,80.00999999999999
1999,218,80.00999999999999
326,198,81.00999999999999
1925,198,55.00999999999999
957,78,90.00999999999999
2152,78,47.00999999999999
801,38,38.00999999999999
1017,332,30.00999999999999
336,312,1.009999999999991
1476,292,1.009999999999991
1948,252,-63.99000000000001
268,192,-62.99000000000001
592,192,-84.99000000000001
1241,172,-100.99000000000001
1476,172,23.98999999999978
526,132,18.98999999999978
1704,72,24.98999999999978
1833,32,26.98999999999978
1440,320,42.98999999999978
2143,320,56.0
908,200,57.0
1440,40,44.0
1667,40,11.0
1741,20,52.0
1160,304,55.0
1160,304,68.0
1039,204,57.0
633,184,49.0
522,144,91.0
1236,144,125.0
1236,24,114.0
569,324,51.0
804,284,-2.0
1431,284,12.0
309,224,-39.01000000000022
309,144,-41.01000000000022
804,144,-106.01000000000022
569,64,-114.01000000000022
1048,44,-116.01000000000022
1707,24,-179.0
1848,4,-228.0
1463,284,-201.0
2006,284,-302.0
82,224,-284.0
1392,44,-262.0
390,4,-270.0
1250,4,-267.0
1900,285,-367.0
1900,265,-337.0
1384,25,-249.0
1037,292,-152.0
1037,272,-187.0
1097,212,-195.0
1053,264,-194.0
1053,244,8.989999999999782
1053,244,43.98999999999978
571,84,80.98999999999978
1152,4,71.98999999999978
1231,220,28.0
1231,200,38.0
1128,100,64.0
1174,336,75.0
1428,136,47.0
1260,36,30.0
1608,284,4.0
1842,284,-50.0
1608,244,-85.0
1417,224,-99.0
1156,204,-93.0
2118,124,-129.0
2345,24,-44.0
1297,365,-27.0
587,325,-24.0
739,225,56.0
1033,225,69.98999999999978
1202,225,46.98999999999978
1392,145,54.98999999999978
285,304,58.98999999999978
423,304,78.98999999999978
915,244,62.0
1857,224,52.0
788,148,143.0
1014,88,166.0
478,280,165.0
478,220,141.0
1489,160,133.0
478,140,151.0
248,284,110.0
437,284,62.0
1477,264,66.0
1820,224,99.0
248,184,110.0
688,164,100.0
513,144,119.0
248,124,-102.01000000000022
898,124,-107.01000000000022
966,64,-123.01000000000022
1820,64,-127.01000000000022
437,44,-125.01000000000022
1300,4,-31.0
1818,220,-60.0
1721,180,-49.0
1115,60,-37.0
601,40,-3.0
1374,0,-13.0
1017,330,10.0
1248,270,160.0
328,150,306.0
1531,150,308.0
1017,90,357.0
1316,50,374.0
1858,10,359.0
726,410,368.0
887,410,418.0
1284,390,-9.010000000000218
1284,330,21.98999999999978
786,310,42.98999999999978
887,250,72.98999999999978
1933,210,50.0
1056,150,20.0
312,130,39.0
830,200,0.0
1099,180,-29.0
1572,140,5.0
1410,100,35.0
434,20,20.0
450,450,3.0
534,450,77.0
1070,310,158.0
996,210,122.0
924,190,122.0
534,110,129.0
686,30,205.0
805,255,192.0
286,195,36.9900000000016
1833,75,44.9900000000016
661,15,30.9900000000016
1219,164,24.9900000000016
1389,124,11.9900000000016
1912,124,45.0
665,320,49.0
93,300,53.0
1605,300,213.0
1055,260,131.0
208,240,82.0
1605,180,18.0
1245,40,-7.0
1852,340,24.0
1128,300,36.0
1354,300,-14.0
1852,160,112.0
682,60,95.0
1354,20,88.0
1266,220,209.0
1651,120,11.9900000000016
1912,304,9.9900000000016
303,284,11.9900000000016
564,284,15.9900000000016
192,164,-3.0099999999983993
758,104,-30.0
1846,24,-17.0
1134,353,51.0
878,333,-7.0
2203,313,31.0
1707,293,26.0
1839,193,17.0
2124,193,55.0
1928,173,103.0
127,93,58.0
2124,73,56.0
1707,53,185.0
1802,225,156.0
547,145,126.0
87,125,75.0
1324,5,21.9900000000016
1748,283,29.9900000000016
811,183,29.9900000000016
213,63,104.0
544,63,103.0
1257,63,140.0
103,43,223.0
1230,340,291.0
970,320,192.0
565,300,166.0
1712,260,283.0
456,200,291.0
765,367,250.0
218,327,275.0
622,267,246.0
97,247,216.0
323,207,217.0
1302,147,92.0
1639,147,82.0
97,27,38.0
831,27,-95.0099999999984
76,260,-83.0099999999984
455,200,-148.0099999999984
1050,180,-181.0099999999984
1491,180,-177.0099999999984
699,80,-291.0
455,60,-244.0
603,292,-211.0
235,272,-265.0
899,272,-255.0
1704,212,-275.0
899,132,-385.0
74,112,-327.0
675,72,-325.0
350,52,-345.0
770,332,-261.0
1439,312,-236.0
945,112,-171.0
897,340,-203.0
224,300,-201.0
74,240,59.9900000000016
307,160,106.9900000000016
801,100,112.9900000000016
1353,100,175.0
224,40,202.0
1102,20,189.0
165,323,94.0
262,323,102.0
365,283,157.0
671,243,246.0
851,183,246.0
1573,63,270.0
210,316,179.0
799,196,233.0
78,176,266.0
1594,116,282.0
1107,96,309.0
1107,96,197.0
591,36,243.0
381,325,186.0
703,325,-9.0099999999984
1111,265,1.9900000000016007
193,145,27.9900000000016
130,5,25.9900000000016
193,5,30.0
973,5,94.0
1533,164,91.0
748,124,64.0
1533,124,93.0
132,104,49.0
296,84,56.0
1032,24,87.0
746,320,55.0
1513,280,128.0
746,120,183.0
1271,120,148.0
514,224,155.0
138,184,163.0
208,124,208.0
208,24,169.0
636,327,-8.010000000002037
