traveling_time,waiting_time,headway
440,34,0.0
788,34,0.0
1599,190,0.0
415,110,0.0
893,346,0.0
893,326,4.009999999999991
1214,286,14.009999999999991
1214,246,14.009999999999991
953,166,-23.99000000000001
759,66,-63.99000000000001
1733,286,-25.99000000000001
496,266,-13.990000000000009
813,266,-13.990000000000009
320,226,74.00999999999999
968,206,91.00999999999999
889,186,89.00999999999999
728,126,89.00999999999999
1208,330,90.00999999999999
729,130,52.00999999999999
729,110,139.01
543,70,-20.01000000000022
194,50,-39.01000000000022
636,50,5.989999999999782
1677,50,-17.01000000000022
263,366,-50.0
444,286,-58.0
583,246,-98.0
1162,146,-50.0
982,26,-36.0
583,6,-38.0
695,290,-66.0
1085,150,-135.0
85,30,-84.0
1232,251,-123.0
355,211,-248.0
1232,191,-59.0
571,171,-28.0
1484,71,-27.0
496,254,-32.0
1479,254,-38.0
74,234,-21.01000000000022
496,234,-76.01000000000022
74,114,-66.01000000000022
434,114,-59.01000000000022
1860,343,-85.01000000000022
893,303,-103.0
1860,303,-113.0
1860,283,-175.0
772,83,-181.0
301,3,-207.0
1719,303,-201.0
369,23,-220.0
1064,343,-132.0
1355,303,-129.0
1621,303,-106.0
1279,143,-146.0
1771,143,93.0
1166,103,105.0
1166,83,123.0
1064,43,-4.0
1621,43,-83.01000000000022
1690,43,15.989999999999782
1279,3,15.989999999999782
717,311,10.989999999999782
1156,311,-64.0
1484,311,-25.0
1484,291,-61.0
464,171,-55.0
998,277,-98.0
917,217,-67.0
541,137,-63.0
1872,137,-11.0
1404,97,-5.0
467,57,25.0
1113,57,148.0
383,17,109.0
649,340,138.0
82,280,200.0
168,220,170.0
1638,200,178.0
1344,180,-14.010000000000218
1501,180,14.989999999999782
855,300,127.98999999999978
1310,300,127.0
1235,280,24.0
707,160,136.0
270,100,186.0
612,0,223.0
707,0,85.0
1708,287,153.0
148,267,180.0
637,267,207.0
1109,267,135.0
1301,267,90.0
1030,247,102.0
748,187,138.0
1397,47,207.0
399,327,232.0
157,287,461.0
399,247,428.0
1138,227,-127.01000000000022
1138,227,-140.01000000000022
958,47,-158.01000000000022
818,323,-179.01000000000022
1692,283,-122.0
504,243,-122.0
818,243,84.0
1393,163,101.0
1980,163,156.0
818,143,166.0
1098,143,166.0
1315,123,182.0
997,103,176.0
1236,43,143.0
771,303,148.0
624,283,127.0
1627,283,96.0
1260,263,90.0
1260,203,21.0
1627,203,32.0
431,83,-47.01000000000022
544,63,-71.01000000000022
431,23,-84.01000000000022
1589,263,-51.01000000000022
243,143,-53.01000000000022
148,343,-85.0
854,343,-109.0
854,343,-118.0
936,283,-109.0
595,263,-97.0
436,203,-87.0
1166,203,-60.0
1250,23,-26.0
1315,323,-51.99999999999818
1743,283,-50.99999999999818
536,263,20.0
1578,123,52.0
197,83,25.0
606,23,22.0
581,297,-22.0
581,297,9.9900000000016
2006,297,-17.0099999999984
1846,277,51.9900000000016
1375,117,59.9900000000016
1916,117,46.0
1449,272,32.0
364,252,107.0
998,112,179.0
1560,112,186.0
1727,52,129.0
581,343,125.0
1353,343,242.0
770,303,205.0
685,263,229.0
1433,243,330.0
