time,station,direction,buses
40085,X11,1,"(0, 0)"
40086,X11,1,"(0, 0)"
40086,X09,0,"(14, 14)"
40086,X19,0,"(5, 5)"
40086,X06,0,"(12, 12)"
40087,X06,0,"(12, 12)"
40087,X11,1,"(0, 0)"
40087,X09,0,"(14, 14)"
40087,X19,0,"(5, 5)"
40088,X06,0,"(12, 12)"
40088,X09,0,"(14, 14)"
40088,X11,1,"(0, 0)"
40088,X19,0,"(5, 5)"
40089,X19,0,"(5, 5)"
40089,X09,0,"(14, 14)"
40089,X11,1,"(0, 0)"
40089,X06,0,"(12, 12)"
40090,X19,0,"(5, 5)"
40090,X06,0,"(12, 12)"
40090,X11,1,"(0, 0)"
40091,X06,0,"(12, 12)"
40091,X11,1,"(0, 0)"
40091,X19,0,"(5, 5)"
40092,X06,0,"(12, 12)"
40092,X11,1,"(0, 0)"
40092,X19,0,"(5, 5)"
40093,X11,1,"(0, 0)"
40093,X19,0,"(5, 5)"
40093,X06,0,"(12, 12)"
40094,X19,0,"(5, 5)"
40094,X06,0,"(12, 12)"
40094,X11,1,"(0, 0)"
40095,X11,1,"(0, 0)"
40095,X19,0,"(5, 5)"
40095,X06,0,"(12, 12)"
40096,X11,1,"(0, 0)"
40096,X06,0,"(12, 12)"
40096,X19,0,"(5, 5)"
40097,X11,1,"(0, 0)"
40097,X19,0,"(5, 5)"
40097,X06,0,"(12, 12)"
40098,X19,0,"(5, 5)"
40098,X06,0,"(12, 12)"
40098,X11,1,"(0, 0)"
40099,X19,0,"(5, 5)"
40099,X06,0,"(12, 12)"
40099,X11,1,"(0, 0)"
40100,X11,1,"(0, 0)"
40100,X06,0,"(12, 12)"
40100,X19,0,"(5, 5)"
40101,X11,1,"(0, 0)"
40101,X19,0,"(5, 5)"
40101,X06,0,"(12, 12)"
40102,X11,1,"(0, 0)"
40102,X06,0,"(12, 12)"
40102,X19,0,"(5, 5)"
40103,X11,1,"(0, 0)"
40103,X06,0,"(12, 12)"
40103,X19,0,"(5, 5)"
40104,X11,1,"(0, 0)"
40104,X06,0,"(12, 12)"
40104,X19,0,"(5, 5)"
40105,X06,0,"(12, 12)"
40105,X11,1,"(0, 0)"
40106,X06,0,"(12, 12)"
40106,X11,1,"(0, 0)"
40107,X06,0,"(12, 12)"
40107,X11,1,"(0, 0)"
40108,X06,0,"(12, 12)"
40108,X12,0,"(1, 1)"
40108,X11,1,"(0, 0)"
40109,X06,0,"(12, 12)"
40109,X11,1,"(0, 0)"
40109,X12,0,"(1, 1)"
40110,X11,1,"(0, 0)"
40110,X06,0,"(12, 12)"
40110,X12,0,"(1, 1)"
40111,X11,1,"(0, 0)"
40111,X06,0,"(12, 12)"
40111,X12,0,"(1, 1)"
40112,X06,0,"(12, 12)"
40112,X11,1,"(0, 0)"
40112,X12,0,"(1, 1)"
40113,X12,0,"(1, 1)"
40113,X11,1,"(0, 0)"
40113,X06,0,"(12, 12)"
40114,X11,1,"(0, 0)"
40114,X12,0,"(1, 1)"
40115,X12,0,"(1, 1)"
40115,X11,1,"(0, 0)"
40116,X12,0,"(1, 1)"
40116,X11,1,"(0, 0)"
40117,X12,0,"(1, 1)"
40117,X11,1,"(0, 0)"
40118,X12,0,"(1, 1)"
40118,X11,1,"(0, 0)"
40119,X12,0,"(1, 1)"
40119,X11,1,"(0, 0)"
40120,X12,0,"(1, 1)"
40120,X11,1,"(0, 0)"
40121,X11,1,"(0, 0)"
40121,X12,0,"(1, 1)"
40122,X11,1,"(0, 0)"
40122,X12,0,"(1, 1)"
40123,X11,1,"(0, 0)"
40123,X12,0,"(1, 1)"
40124,X15,1,"(13, 13)"
40124,X12,0,"(1, 1)"
40125,X15,1,"(13, 13)"
40125,X12,0,"(1, 1)"
40126,X12,0,"(1, 1)"
40126,X15,1,"(13, 13)"
40127,X12,0,"(1, 1)"
40127,X02,1,"(6, 6)"
40127,X15,1,"(13, 13)"
40128,X12,0,"(1, 1)"
40128,X15,1,"(13, 13)"
40128,X02,1,"(6, 6)"
40129,X12,0,"(1, 1)"
40129,X15,1,"(13, 13)"
40129,X02,1,"(6, 6)"
40130,X15,1,"(13, 13)"
40130,X02,1,"(6, 6)"
40130,X12,0,"(1, 1)"
40131,X02,1,"(6, 6)"
40131,X15,0,"(3, 3)"
40131,X15,1,"(13, 13)"
40132,X15,0,"(3, 3)"
40132,X15,1,"(13, 13)"
40132,X02,1,"(6, 6)"
40133,X15,0,"(3, 3)"
40133,X15,1,"(13, 13)"
40133,X02,1,"(6, 6)"
40134,X02,1,"(6, 6)"
40134,X15,0,"(3, 3)"
40134,X15,1,"(13, 13)"
40135,X15,0,"(3, 3)"
40135,X15,1,"(13, 13)"
40135,X02,1,"(6, 6)"
40136,X03,0,"(10, 10)"
40136,X15,1,"(13, 13)"
40136,X02,1,"(6, 6)"
40136,X15,0,"(3, 3)"
40137,X15,0,"(3, 3)"
40137,X03,0,"(10, 10)"
40137,X02,1,"(6, 6)"
40137,X15,1,"(13, 13)"
40138,X02,1,"(6, 6)"
40138,X15,0,"(3, 3)"
40138,X15,1,"(13, 13)"
40138,X03,0,"(10, 10)"
40139,X15,0,"(3, 3)"
40139,X03,0,"(10, 10)"
40139,X02,1,"(6, 6)"
40140,X02,1,"(6, 6)"
40140,X03,0,"(10, 10)"
40140,X15,0,"(3, 3)"
40141,X02,1,"(6, 6)"
40141,X03,0,"(10, 10)"
40141,X15,0,"(3, 3)"
40142,X15,0,"(3, 3)"
40142,X03,0,"(10, 10)"
40142,X02,1,"(6, 6)"
40143,X03,0,"(10, 10)"
40143,X15,0,"(3, 3)"
40143,X02,1,"(6, 6)"
40144,X03,0,"(10, 10)"
40144,X15,0,"(3, 3)"
40144,X02,1,"(6, 6)"
40145,X15,0,"(3, 3)"
40145,X02,1,"(6, 6)"
40145,X03,0,"(10, 10)"
40146,X15,0,"(3, 3)"
40146,X02,1,"(6, 6)"
40146,X03,0,"(10, 10)"
40147,X03,0,"(10, 10)"
40147,X02,1,"(6, 6)"
40147,X15,0,"(3, 3)"
40148,X03,0,"(10, 10)"
40148,X15,0,"(3, 3)"
40148,X02,1,"(6, 6)"
40149,X03,0,"(10, 10)"
40149,X15,0,"(3, 3)"
40149,X08,1,"(2, 2)"
40149,X02,1,"(6, 6)"
40150,X02,1,"(6, 6)"
40150,X15,0,"(3, 3)"
40150,X08,1,"(2, 2)"
40150,X03,0,"(10, 10)"
40151,X02,1,"(6, 6)"
40151,X03,0,"(10, 10)"
40151,X08,1,"(2, 2)"
40151,X15,0,"(3, 3)"
40152,X08,1,"(2, 2)"
40152,X02,1,"(6, 6)"
40152,X15,0,"(3, 3)"
40152,X03,0,"(10, 10)"
40153,X08,1,"(2, 2)"
40153,X15,0,"(3, 3)"
40153,X02,1,"(6, 6)"
40153,X03,0,"(10, 10)"
40154,X08,0,"(14, 14)"
40154,X08,1,"(2, 2)"
40154,X15,0,"(3, 3)"
40154,X02,1,"(6, 6)"
40154,X03,0,"(10, 10)"
40155,X02,1,"(6, 6)"
40155,X15,0,"(3, 3)"
40155,X08,0,"(14, 14)"
40155,X03,0,"(10, 10)"
40155,X08,1,"(2, 2)"
40156,X03,0,"(10, 10)"
40156,X08,1,"(2, 2)"
40156,X08,0,"(14, 14)"
40156,X15,0,"(3, 3)"
40156,X02,1,"(6, 6)"
40157,X03,0,"(10, 10)"
40157,X08,1,"(2, 2)"
40157,X08,0,"(14, 14)"
40157,X05,1,"(4, 4)"
40157,X15,0,"(3, 3)"
40157,X02,1,"(6, 6)"
40158,X08,1,"(2, 2)"
40158,X05,1,"(4, 4)"
40158,X02,1,"(6, 6)"
40158,X08,0,"(14, 14)"
40158,X03,0,"(10, 10)"
40158,X15,0,"(3, 3)"
40159,X05,1,"(4, 4)"
40159,X08,0,"(14, 14)"
40159,X08,1,"(2, 2)"
40159,X03,0,"(10, 10)"
40159,X15,0,"(3, 3)"
40159,X02,1,"(6, 6)"
40160,X03,0,"(10, 10)"
40160,X08,1,"(2, 2)"
40160,X05,1,"(4, 4)"
40160,X15,0,"(3, 3)"
40160,X08,0,"(14, 14)"
40160,X02,1,"(6, 6)"
40161,X03,0,"(10, 10)"
40161,X15,0,"(3, 3)"
40161,X08,0,"(14, 14)"
40161,X08,1,"(2, 2)"
40161,X18,1,"(16, 16)"
40161,X05,1,"(4, 4)"
40162,X15,0,"(3, 3)"
40162,X08,0,"(14, 14)"
40162,X03,0,"(10, 10)"
40162,X08,1,"(2, 2)"
40162,X05,1,"(4, 4)"
40162,X18,1,"(16, 16)"
40163,X15,0,"(3, 3)"
40163,X03,0,"(10, 10)"
40163,X18,1,"(16, 16)"
40163,X05,1,"(4, 4)"
40163,X08,0,"(14, 14)"
40164,X05,1,"(4, 4)"
40164,X03,0,"(10, 10)"
40164,X15,0,"(3, 3)"
40164,X08,0,"(14, 14)"
40164,X18,1,"(16, 16)"
40165,X05,1,"(4, 4)"
40165,X03,0,"(10, 10)"
40165,X18,1,"(16, 16)"
40165,X08,0,"(14, 14)"
40166,X03,0,"(10, 10)"
40166,X18,1,"(16, 16)"
40166,X05,1,"(4, 4)"
40167,X18,1,"(16, 16)"
40167,X05,1,"(4, 4)"
40167,X03,0,"(10, 10)"
40168,X18,1,"(16, 16)"
40168,X03,0,"(10, 10)"
40168,X05,1,"(4, 4)"
40169,X03,0,"(10, 10)"
40169,X05,1,"(4, 4)"
40169,X18,1,"(16, 16)"
40170,X03,0,"(10, 10)"
40170,X05,1,"(4, 4)"
40170,X18,1,"(16, 16)"
40171,X03,0,"(10, 10)"
40171,X05,1,"(4, 4)"
40171,X18,1,"(16, 16)"
40172,X05,1,"(4, 4)"
40172,X03,0,"(10, 10)"
40172,X18,1,"(16, 16)"
40173,X05,1,"(4, 4)"
40173,X18,1,"(16, 16)"
40173,X03,0,"(10, 10)"
40174,X18,1,"(16, 16)"
40174,X03,0,"(10, 10)"
40174,X05,1,"(4, 4)"
40175,X05,1,"(4, 4)"
40175,X03,0,"(10, 10)"
40175,X18,1,"(16, 16)"
